PWM値	ロリコン値	ロリコン速度	ロリコン速度(30区間平均)	ロリコン速度(50区間平均)
16840	421	3	2.225806452	2.102040816
16860	424	1	2.161290323	2.020408163
16880	425	1	2.193548387	2.020408163
16900	426	1	2.258064516	2.081632653
16920	427	1	2.258064516	2.081632653
16940	428	1	2.290322581	2.081632653
16960	429	3	2.35483871	2.081632653
16980	432	3	2.258064516	2.040816327
17000	435	3	2.258064516	2
17020	438	1	2.193548387	1.959183673
17040	439	2	2.225806452	1.959183673
17060	441	1	2.258064516	1.93877551
17080	442	3	2.225806452	1.93877551
17100	445	3	2.225806452	1.93877551
17120	448	2	2.161290323	1.93877551
17140	450	3	2.161290323	1.93877551
17160	453	1	2.161290323	1.93877551
17180	454	1	2.225806452	1.93877551
17200	455	1	2.225806452	1.93877551
17220	456	3	2.161290323	1.93877551
17240	459	3	2.096774194	1.93877551
17260	462	3	2.129032258	1.93877551
17280	465	3	2.064516129	1.897959184
17300	468	3	2	1.897959184
17320	471	3	1.935483871	1.897959184
17340	474	3	1.870967742	1.857142857
17360	477	3	1.806451613	1.857142857
17380	480	3	1.741935484	1.816326531
17400	483	3	1.677419355	1.775510204
17420	486	3	1.612903226	1.734693878
17440	489	1	1.548387097	1.734693878
17460	490	1	1.612903226	1.775510204
17480	491	2	1.677419355	1.775510204
17500	493	3	1.677419355	1.795918367
17520	496	1	1.677419355	1.795918367
17540	497	2	1.677419355	1.795918367
17560	499	3	1.64516129	1.816326531
17580	502	0	1.580645161	1.816326531
17600	502	3	1.677419355	1.836734694
17620	505	1	1.677419355	1.795918367
17640	506	2	1.677419355	1.836734694
17660	508	3	1.709677419	1.857142857
17680	511	0	1.709677419	1.816326531
17700	511	3	1.741935484	1.836734694
17720	514	1	1.741935484	1.795918367
17740	515	2	1.741935484	1.836734694
17760	517	3	1.709677419	1.836734694
17780	520	3	1.64516129	1.816326531
17800	523	1	1.64516129	1.816326531
17820	524	-1	1.709677419	1.816326531
17840	523	1	1.774193548	1.857142857
17860	524	4	1.838709677	1.87755102
17880	528	1	1.806451613	1.836734694
17900	529	1	1.806451613	1.87755102
17920	530	1	1.870967742	1.87755102
17940	531	1	1.935483871	1.857142857
17960	532	1	1.935483871	1.87755102
17980	533	1	1.935483871	1.918367347
18000	534	1	2	1.959183673
18020	535	1	2.064516129	1.959183673
18040	536	1	2.064516129	1.959183673
18060	537	3	2.064516129	1.959183673
18080	540	3	2	1.918367347
18100	543	2	2	1.87755102
18120	545	3	2	1.87755102
18140	548	1	1.967741935	1.857142857
18160	549	1	2.032258065	1.836734694
18180	550	1	2.032258065	1.836734694
18200	551	3	2.032258065	1.918367347
18220	554	3	2	1.87755102
18240	557	1	1.967741935	1.87755102
18260	558	3	2.032258065	1.918367347
18280	561	3	1.967741935	1.87755102
18300	564	1	1.870967742	1.87755102
18320	565	3	1.903225806	1.897959184
18340	568	1	1.903225806	1.857142857
18360	569	1	1.967741935	1.857142857
18380	570	1	1.967741935	1.897959184
18400	571	3	1.967741935	1.918367347
18420	574	3	1.903225806	1.87755102
18440	577	1	1.838709677	1.836734694
18460	578	3	1.838709677	1.87755102
18480	581	3	1.806451613	1.836734694
18500	584	1	1.774193548	1.795918367
18520	585	3	1.741935484	1.836734694
18540	588	3	1.677419355	1.795918367
18560	591	1	1.741935484	1.755102041
18580	592	1	1.741935484	1.795918367
18600	593	3	1.806451613	1.795918367
18620	596	3	1.806451613	1.795918367
18640	599	1	1.741935484	1.795918367
18660	600	1	1.806451613	1.795918367
18680	601	1	1.838709677	1.795918367
18700	602	3	1.838709677	1.836734694
18720	605	2	1.774193548	1.795918367
18740	607	2	1.806451613	1.816326531
18760	609	3	1.806451613	1.836734694
18780	612	1	1.741935484	1.795918367
18800	613	1	1.741935484	1.836734694
18820	614	2	1.806451613	1.836734694
18840	616	2	1.774193548	1.857142857
18860	618	3	1.741935484	1.87755102
18880	621	1	1.741935484	1.836734694
18900	622	0	1.741935484	1.87755102
18920	622	2	1.774193548	1.93877551
18940	624	3	1.806451613	1.918367347
18960	627	3	1.741935484	1.918367347
18980	630	1	1.741935484	1.918367347
19000	631	1	1.806451613	1.918367347
19020	632	1	1.806451613	1.959183673
19040	633	1	1.806451613	2
19060	634	1	1.870967742	2.020408163
19080	635	2	1.870967742	2.06122449
19100	637	2	1.903225806	2.040816327
19120	639	0	1.935483871	2.020408163
19140	639	1	1.967741935	2.040816327
19160	640	5	2.032258065	2.040816327
19180	645	1	1.903225806	1.959183673
19200	646	3	1.967741935	1.93877551
19220	649	3	1.967741935	1.918367347
19240	652	1	1.903225806	1.897959184
19260	653	3	1.967741935	1.918367347
19280	656	2	1.967741935	1.918367347
19300	658	1	1.935483871	1.93877551
19320	659	1	2	1.979591837
19340	660	3	2.064516129	2.020408163
19360	663	2	2	1.979591837
19380	665	1	2.032258065	2
19400	666	1	2.096774194	2.020408163
19420	667	3	2.129032258	2.06122449
19440	670	1	2.129032258	2.020408163
19460	671	1	2.129032258	2.06122449
19480	672	3	2.129032258	2.081632653
19500	675	1	2.064516129	2.081632653
19520	676	1	2.064516129	2.081632653
19540	677	3	2.064516129	2.081632653
19560	680	1	1.967741935	2.06122449
19580	681	3	2	2.12244898
19600	684	3	1.967741935	2.081632653
19620	687	1	1.935483871	2.081632653
19640	688	1	2	2.12244898
19660	689	3	2.064516129	2.12244898
19680	692	1	2.064516129	2.12244898
19700	693	3	2.129032258	2.12244898
19720	696	3	2.064516129	2.12244898
19740	699	1	2.064516129	2.12244898
19760	700	3	2.096774194	2.12244898
19780	703	1	2.096774194	2.12244898
19800	704	3	2.096774194	2.163265306
19820	707	3	2.096774194	2.12244898
19840	710	1	2.064516129	2.12244898
19860	711	3	2.129032258	2.142857143
19880	714	3	2.064516129	2.142857143
19900	717	1	2	2.102040816
19920	718	3	2.032258065	2.142857143
19940	721	3	2.064516129	2.102040816
19960	724	1	2	2.102040816
19980	725	3	2.064516129	2.102040816
20000	728	3	2.064516129	2.102040816
20020	731	2	2	2.06122449
20040	733	3	2.032258065	2.081632653
20060	736	1	1.967741935	2.040816327
20080	737	1	2.032258065	2.081632653
20100	738	1	2.096774194	2.081632653
20120	739	1	2.096774194	2.12244898
20140	740	1	2.161290323	2.12244898
20160	741	0	2.225806452	2.163265306
20180	741	2	2.258064516	2.183673469
20200	743	2	2.290322581	2.204081633
20220	745	2	2.290322581	2.183673469
20240	747	3	2.322580645	2.163265306
20260	750	3	2.258064516	2.163265306
20280	753	3	2.258064516	2.142857143
20300	756	3	2.193548387	2.142857143
20320	759	1	2.193548387	2.102040816
20340	760	3	2.193548387	2.102040816
20360	763	2	2.193548387	2.06122449
20380	765	3	2.161290323	2.040816327
20400	768	1	2.161290323	2.040816327
20420	769	3	2.161290323	2.081632653
20440	772	2	2.161290323	2.06122449
20460	774	3	2.129032258	2.081632653
20480	777	1	2.129032258	2.040816327
20500	778	1	2.129032258	2.040816327
20520	779	2	2.193548387	2.12244898
20540	781	4	2.161290323	2.142857143
20560	785	1	2.129032258	2.102040816
20580	786	3	2.129032258	2.12244898
20600	789	3	2.064516129	2.12244898
20620	792	1	2.064516129	2.102040816
20640	793	3	2.096774194	2.102040816
20660	796	1	2.096774194	2.12244898
20680	797	3	2.096774194	2.12244898
20700	800	3	2.032258065	2.142857143
20720	803	1	1.967741935	2.102040816
20740	804	3	1.967741935	2.142857143
20760	807	3	1.967741935	2.102040816
20780	810	1	1.967741935	2.12244898
20800	811	3	2	2.12244898
20820	814	2	2	2.12244898
20840	816	3	1.967741935	2.142857143
20860	819	1	1.903225806	2.102040816
20880	820	3	2.032258065	2.163265306
20900	823	1	2.032258065	2.12244898
20920	824	3	2.064516129	2.163265306
20940	827	1	2.032258065	2.163265306
20960	828	3	2.096774194	2.163265306
20980	831	1	2.064516129	2.12244898
21000	832	3	2.064516129	2.183673469
21020	835	1	2.096774194	2.142857143
21040	836	3	2.096774194	2.142857143
21060	839	1	2.129032258	2.12244898
21080	840	3	2.129032258	2.163265306
21100	843	1	2.129032258	2.163265306
21120	844	3	2.129032258	2.163265306
21140	847	1	2.161290323	2.183673469
21160	848	3	2.161290323	2.183673469
21180	851	1	2.161290323	2.183673469
21200	852	1	2.225806452	2.224489796
21220	853	3	2.225806452	2.224489796
21240	856	2	2.258064516	2.244897959
21260	858	3	2.225806452	2.224489796
21280	861	1	2.225806452	2.224489796
21300	862	1	2.290322581	2.265306122
21320	863	1	2.290322581	2.306122449
21340	864	1	2.290322581	2.346938776
21360	865	3	2.387096774	2.387755102
21380	868	3	2.322580645	2.346938776
21400	871	2	2.258064516	2.346938776
21420	873	3	2.258064516	2.326530612
21440	876	1	2.258064516	2.326530612
21460	877	1	2.322580645	2.367346939
21480	878	5	2.322580645	2.367346939
21500	883	3	2.290322581	2.326530612
21520	886	2	2.225806452	2.326530612
21540	888	2	2.258064516	2.306122449
21560	890	3	2.290322581	2.285714286
21580	893	2	2.225806452	2.285714286
21600	895	1	2.290322581	2.265306122
21620	896	4	2.290322581	2.326530612
21640	900	1	2.258064516	2.326530612
21660	901	4	2.322580645	2.326530612
21680	905	1	2.290322581	2.306122449
21700	906	3	2.35483871	2.306122449
21720	909	1	2.35483871	2.306122449
21740	910	4	2.35483871	2.346938776
21760	914	1	2.322580645	2.285714286
21780	915	3	2.322580645	2.285714286
21800	918	3	2.322580645	2.285714286
21820	921	1	2.322580645	2.306122449
21840	922	4	2.322580645	2.367346939
21860	926	1	2.290322581	2.306122449
21880	927	3	2.35483871	2.306122449
21900	930	3	2.290322581	2.265306122
21920	933	1	2.225806452	2.265306122
21940	934	1	2.290322581	2.306122449
21960	935	4	2.290322581	2.346938776
21980	939	1	2.290322581	2.326530612
22000	940	1	2.387096774	2.367346939
22020	941	2	2.387096774	2.367346939
22040	943	3	2.419354839	2.387755102
22060	946	3	2.35483871	2.387755102
22080	949	1	2.35483871	2.387755102
22100	950	4	2.419354839	2.428571429
22120	954	1	2.322580645	2.387755102
22140	955	3	2.322580645	2.448979592
22160	958	3	2.322580645	2.469387755
22180	961	1	2.35483871	2.489795918
22200	962	4	2.451612903	2.551020408
22220	966	1	2.35483871	2.551020408
22240	967	3	2.35483871	2.612244898
22260	970	3	2.290322581	2.612244898
22280	973	3	2.290322581	2.612244898
22300	976	3	2.290322581	2.612244898
22320	979	3	2.290322581	2.632653061
22340	982	1	2.290322581	2.653061224
22360	983	3	2.35483871	2.714285714
22380	986	1	2.290322581	2.673469388
22400	987	3	2.35483871	2.673469388
22420	990	3	2.35483871	2.632653061
22440	993	1	2.35483871	2.632653061
22460	994	3	2.419354839	2.693877551
22480	997	3	2.387096774	2.653061224
22500	1000	1	2.419354839	2.612244898
22520	1001	1	2.516129032	2.653061224
22540	1002	3	2.612903226	2.653061224
22560	1005	1	2.64516129	2.653061224
22580	1006	4	2.741935484	2.693877551
22600	1010	4	2.741935484	2.632653061
22620	1014	1	2.709677419	2.612244898
22640	1015	3	2.774193548	2.612244898
22660	1018	1	2.774193548	2.612244898
22680	1019	3	2.870967742	2.612244898
22700	1022	3	2.903225806	2.612244898
22720	1025	1	2.935483871	2.591836735
22740	1026	1	2.935483871	2.632653061
22760	1027	3	2.935483871	2.693877551
22780	1030	4	2.870967742	2.714285714
22800	1034	4	2.838709677	2.714285714
22820	1038	1	2.838709677	2.653061224
22840	1039	1	2.838709677	2.653061224
22860	1040	1	2.838709677	2.653061224
22880	1041	3	2.903225806	2.653061224
22900	1044	3	2.838709677	2.673469388
22920	1047	3	2.838709677	2.632653061
22940	1050	3	2.838709677	2.591836735
22960	1053	3	2.774193548	2.551020408
22980	1056	1	2.774193548	2.510204082
23000	1057	3	2.774193548	2.510204082
23020	1060	3	2.774193548	2.469387755
23040	1063	3	2.709677419	2.448979592
23060	1066	3	2.709677419	2.469387755
23080	1069	2	2.677419355	2.489795918
23100	1071	4	2.709677419	2.510204082
23120	1075	4	2.709677419	2.448979592
23140	1079	4	2.709677419	2.387755102
23160	1083	4	2.709677419	2.306122449
23180	1087	4	2.612903226	2.306122449
23200	1091	4	2.516129032	2.306122449
23220	1095	3	2.419354839	2.306122449
23240	1098	3	2.35483871	2.326530612
23260	1101	3	2.387096774	2.326530612
23280	1104	4	2.322580645	2.326530612
23300	1108	4	2.225806452	2.306122449
23320	1112	4	2.129032258	2.244897959
23340	1116	1	2.032258065	2.183673469
23360	1117	1	2.032258065	2.204081633
23380	1118	1	2.032258065	2.265306122
23400	1119	3	2.064516129	2.306122449
23420	1122	4	2.096774194	2.285714286
23440	1126	1	2.096774194	2.285714286
23460	1127	1	2.161290323	2.326530612
23480	1128	3	2.161290323	2.326530612
23500	1131	1	2.096774194	2.285714286
23520	1132	3	2.064516129	2.285714286
23540	1135	3	2.096774194	2.285714286
23560	1138	1	2.129032258	2.285714286
23580	1139	3	2.225806452	2.285714286
23600	1142	1	2.258064516	2.285714286
23620	1143	3	2.322580645	2.285714286
23640	1146	1	2.322580645	2.244897959
23660	1147	3	2.387096774	2.306122449
23680	1150	2	2.322580645	2.346938776
23700	1152	3	2.290322581	2.387755102
23720	1155	4	2.258064516	2.346938776
23740	1159	4	2.258064516	2.306122449
23760	1163	4	2.225806452	2.306122449
23780	1167	1	2.161290323	2.306122449
23800	1168	1	2.258064516	2.346938776
23820	1169	1	2.322580645	2.387755102
23840	1170	1	2.322580645	2.387755102
23860	1171	4	2.322580645	2.387755102
23880	1175	1	2.225806452	2.326530612
23900	1176	1	2.290322581	2.326530612
23920	1177	1	2.35483871	2.346938776
23940	1178	1	2.35483871	2.408163265
23960	1179	1	2.419354839	2.469387755
23980	1180	1	2.419354839	2.469387755
24000	1181	2	2.419354839	2.469387755
24020	1183	4	2.483870968	2.510204082
24040	1187	4	2.516129032	2.510204082
24060	1191	3	2.516129032	2.510204082
24080	1194	1	2.451612903	2.530612245
24100	1195	1	2.483870968	2.571428571
24120	1196	0	2.580645161	2.571428571
24140	1196	4	2.709677419	2.571428571
24160	1200	4	2.677419355	2.510204082
24180	1204	4	2.64516129	2.510204082
24200	1208	4	2.548387097	2.510204082
24220	1212	3	2.451612903	2.510204082
24240	1215	3	2.387096774	2.510204082
24260	1218	3	2.322580645	2.469387755
24280	1221	1	2.290322581	2.448979592
24300	1222	1	2.387096774	2.510204082
24320	1223	2	2.483870968	2.571428571
24340	1225	4	2.451612903	2.612244898
24360	1229	3	2.35483871	2.612244898
24380	1232	2	2.387096774	2.632653061
24400	1234	4	2.451612903	2.653061224
24420	1238	3	2.451612903	2.653061224
24440	1241	1	2.483870968	2.673469388
24460	1242	1	2.548387097	2.734693878
24480	1243	1	2.548387097	2.775510204
24500	1244	3	2.516129032	2.775510204
24520	1247	3	2.451612903	2.734693878
24540	1250	1	2.483870968	2.734693878
24560	1251	3	2.580645161	2.775510204
24580	1254	1	2.612903226	2.775510204
24600	1255	1	2.677419355	2.775510204
24620	1256	4	2.677419355	2.816326531
24640	1260	5	2.612903226	2.795918367
24660	1265	4	2.580645161	2.714285714
24680	1269	1	2.580645161	2.653061224
24700	1270	2	2.677419355	2.673469388
24720	1272	4	2.741935484	2.653061224
24740	1276	4	2.741935484	2.591836735
24760	1280	3	2.709677419	2.530612245
24780	1283	3	2.741935484	2.489795918
24800	1286	1	2.774193548	2.448979592
24820	1287	1	2.870967742	2.448979592
24840	1288	1	2.935483871	2.448979592
24860	1289	1	2.935483871	2.448979592
24880	1290	2	2.935483871	2.469387755
24900	1292	4	2.967741935	2.510204082
24920	1296	4	2.935483871	2.489795918
24940	1300	1	2.903225806	2.469387755
24960	1301	1	2.903225806	2.510204082
24980	1302	4	2.967741935	2.510204082
25000	1306	4	2.935483871	2.448979592
25020	1310	4	2.838709677	2.448979592
25040	1314	4	2.741935484	2.428571429
25060	1318	3	2.677419355	2.408163265
25080	1321	1	2.612903226	2.387755102
25100	1322	0	2.612903226	2.448979592
25120	1322	1	2.64516129	2.530612245
25140	1323	4	2.64516129	2.571428571
25160	1327	4	2.548387097	2.530612245
25180	1331	4	2.451612903	2.530612245
25200	1335	3	2.35483871	2.510204082
25220	1338	1	2.290322581	2.510204082
25240	1339	2	2.322580645	2.510204082
25260	1341	4	2.387096774	2.489795918
25280	1345	4	2.35483871	2.489795918
25300	1349	4	2.322580645	2.489795918
25320	1353	4	2.290322581	2.469387755
25340	1357	4	2.193548387	2.448979592
25360	1361	3	2.096774194	2.387755102
25380	1364	4	2.129032258	2.346938776
25400	1368	4	2.096774194	2.285714286
25420	1372	4	2.064516129	2.285714286
25440	1376	3	2	2.285714286
25460	1379	1	2.032258065	2.306122449
25480	1380	1	2.129032258	2.367346939
25500	1381	3	2.193548387	2.408163265
25520	1384	3	2.161290323	2.367346939
25540	1387	3	2.193548387	2.326530612
25560	1390	1	2.193548387	2.326530612
25580	1391	3	2.258064516	2.387755102
25600	1394	3	2.193548387	2.408163265
25620	1397	1	2.129032258	2.408163265
25640	1398	1	2.225806452	2.408163265
25660	1399	2	2.322580645	2.408163265
25680	1401	1	2.35483871	2.408163265
25700	1402	1	2.419354839	2.408163265
25720	1403	1	2.419354839	2.408163265
25740	1404	1	2.419354839	2.428571429
25760	1405	1	2.419354839	2.489795918
25780	1406	1	2.516129032	2.530612245
25800	1407	1	2.612903226	2.571428571
25820	1408	1	2.709677419	2.571428571
25840	1409	2	2.806451613	2.571428571
25860	1411	4	2.838709677	2.612244898
25880	1415	3	2.741935484	2.612244898
